日付,通貨名,始値,高値,安値,終値,平均値
2018/01/01,bch_jpy,271000.00000000,310000.00000000,270000.00000000,290015.00000000,290272.61537325
2018/01/02,bch_jpy,290015.00000000,300000.00000000,282305.00000000,297995.00000000,290753.61830166
2018/01/03,bch_jpy,298000.00000000,325450.00000000,297995.00000000,303200.00000000,310428.71792106
2018/01/04,bch_jpy,303200.00000000,308800.00000000,290500.00000000,296745.00000000,299393.22206745
2018/01/05,bch_jpy,296745.00000000,302400.00000000,285540.00000000,299450.00000000,293391.47809491
2018/01/06,bch_jpy,299995.00000000,315150.00000000,280200.00000000,300665.00000000,293776.21267722
2018/01/07,bch_jpy,300005.00000000,330125.00000000,298000.00000000,312035.00000000,313795.35597109
2018/01/08,bch_jpy,312000.00000000,314900.00000000,292000.00000000,294950.00000000,303853.92856422
2018/01/09,bch_jpy,292000.00000000,315500.00000000,286650.00000000,304280.00000000,301534.55381748
2018/01/10,bch_jpy,303500.00000000,339000.00000000,300000.00000000,337900.00000000,316720.58893369
2018/01/11,bch_jpy,336000.00000000,375000.00000000,306110.00000000,320795.00000000,338270.15094485
2018/01/12,bch_jpy,320795.00000000,330600.00000000,300005.00000000,322950.00000000,314422.66748668
2018/01/13,bch_jpy,322950.00000000,344650.00000000,311000.00000000,329500.00000000,324123.12116957
2018/01/14,bch_jpy,329490.00000000,338350.00000000,312200.00000000,319150.00000000,326329.59821059
2018/01/15,bch_jpy,319900.00000000,320520.00000000,293125.00000000,300555.00000000,308412.53215177
2018/01/16,bch_jpy,300775.00000000,302500.00000000,225000.00000000,240485.00000000,264804.97499818
2018/01/17,bch_jpy,240000.00000000,254680.00000000,158000.00000000,158010.00000000,196995.29239546
2018/01/18,bch_jpy,158000.00000000,224995.00000000,151240.00000000,214845.00000000,201469.41419627
2018/01/19,bch_jpy,214855.00000000,217005.00000000,193100.00000000,204000.00000000,205603.93800339
2018/01/20,bch_jpy,202010.00000000,219020.00000000,197100.00000000,212860.00000000,208373.20795937
2018/01/21,bch_jpy,212790.00000000,237840.00000000,199500.00000000,206655.00000000,215944.90488771
2018/01/22,bch_jpy,205100.00000000,208495.00000000,181000.00000000,183000.00000000,195332.69601288
2018/01/23,bch_jpy,183000.00000000,188700.00000000,165000.00000000,170080.00000000,176967.99743151
2018/01/24,bch_jpy,172000.00000000,191180.00000000,170000.00000000,181620.00000000,181583.06014069
2018/01/25,bch_jpy,181035.00000000,186770.00000000,177000.00000000,180505.00000000,181370.07148958
2018/01/26,bch_jpy,180505.00000000,184540.00000000,150500.00000000,160795.00000000,162837.78448643
2018/01/27,bch_jpy,160795.00000000,174995.00000000,155000.00000000,166810.00000000,165986.02970169
2018/01/28,bch_jpy,166765.00000000,193000.00000000,166750.00000000,186200.00000000,181235.68422591
2018/01/29,bch_jpy,186200.00000000,192780.00000000,177775.00000000,180180.00000000,183594.86267508
2018/01/30,bch_jpy,181080.00000000,181720.00000000,170000.00000000,171005.00000000,174577.50165532
2018/01/31,bch_jpy,171005.00000000,171005.00000000,153000.00000000,158990.00000000,161235.81215879
2018/02/01,bch_jpy,159000.00000000,163990.00000000,135600.00000000,145010.00000000,152324.16231366
2018/02/02,bch_jpy,147000.00000000,147000.00000000,100050.00000000,118750.00000000,123932.98771672
2018/02/03,bch_jpy,118795.00000000,137800.00000000,115000.00000000,136900.00000000,125582.13833781
2018/02/04,bch_jpy,136900.00000000,141555.00000000,120335.00000000,122915.00000000,132400.50135125
2018/02/05,bch_jpy,123000.00000000,127700.00000000,105300.00000000,105535.00000000,117050.82282227
2018/02/06,bch_jpy,105550.00000000,108325.00000000,84010.00000000,100000.00000000,94422.89025085
2018/02/07,bch_jpy,100000.00000000,115000.00000000,96600.00000000,108950.00000000,104145.72154974
2018/02/08,bch_jpy,109160.00000000,147500.00000000,102020.00000000,135110.00000000,125949.34802064
2018/02/09,bch_jpy,135380.00000000,152500.00000000,129000.00000000,141020.00000000,141867.99912334
2018/02/10,bch_jpy,141700.00000000,154000.00000000,135005.00000000,141190.00000000,144514.69609787
2018/02/11,bch_jpy,142845.00000000,143845.00000000,129220.00000000,139455.00000000,135307.14605954
2018/02/12,bch_jpy,139235.00000000,141000.00000000,133015.00000000,136730.00000000,137504.76240167
2018/02/13,bch_jpy,136730.00000000,140115.00000000,130030.00000000,134385.00000000,135390.18278598
2018/02/14,bch_jpy,134500.00000000,145000.00000000,131740.00000000,142995.00000000,137172.57078949
2018/02/15,bch_jpy,142750.00000000,147900.00000000,139450.00000000,145120.00000000,143980.34423749
2018/02/16,bch_jpy,145120.00000000,165000.00000000,143885.00000000,160800.00000000,155654.79983368
2018/02/17,bch_jpy,160000.00000000,169000.00000000,157100.00000000,163200.00000000,163605.70693717
2018/02/18,bch_jpy,163000.00000000,177000.00000000,149040.00000000,162700.00000000,164492.06581964
2018/02/19,bch_jpy,162200.00000000,164950.00000000,155500.00000000,163400.00000000,160834.25851349
2018/02/20,bch_jpy,163480.00000000,167000.00000000,160995.00000000,162170.00000000,163574.41419151
2018/02/21,bch_jpy,162010.00000000,164120.00000000,144660.00000000,146000.00000000,151842.47840715
2018/02/22,bch_jpy,146000.00000000,146970.00000000,129000.00000000,129500.00000000,139768.64421736
2018/02/23,bch_jpy,129000.00000000,141045.00000000,122900.00000000,139780.00000000,131660.07061056
2018/02/24,bch_jpy,139500.00000000,139840.00000000,125780.00000000,128775.00000000,133377.82730763
2018/02/25,bch_jpy,128605.00000000,129545.00000000,122000.00000000,122005.00000000,126267.87602249
2018/02/26,bch_jpy,122000.00000000,133400.00000000,118185.00000000,131130.00000000,125786.75068180
2018/02/27,bch_jpy,130615.00000000,138690.00000000,130000.00000000,134995.00000000,134381.19439206
2018/02/28,bch_jpy,135000.00000000,137500.00000000,128990.00000000,130030.00000000,133371.67045071
2018/03/01,bch_jpy,130505.00000000,138940.00000000,128960.00000000,136805.00000000,133065.48176083
2018/03/02,bch_jpy,136800.00000000,138000.00000000,134000.00000000,134000.00000000,136516.24408277
2018/03/03,bch_jpy,133900.00000000,137470.00000000,133500.00000000,135300.00000000,135464.61452397
2018/03/04,bch_jpy,135300.00000000,135305.00000000,130615.00000000,132000.00000000,132635.13795982
2018/03/05,bch_jpy,131580.00000000,136850.00000000,131000.00000000,135890.00000000,135433.23323650
