日付,通貨名,始値,高値,安値,終値,平均値
2018/01/01,btc_jpy,1575400.00000000,1730000.00000000,1534375.00000000,1622005.00000000,1654332.43844823
2018/01/02,btc_jpy,1622005.00000000,1680000.00000000,1598750.00000000,1655005.00000000,1638874.13636276
2018/01/03,btc_jpy,1654995.00000000,1809990.00000000,1648065.00000000,1746000.00000000,1741567.41582378
2018/01/04,btc_jpy,1744855.00000000,1859000.00000000,1735000.00000000,1789210.00000000,1788030.83935065
2018/01/05,btc_jpy,1789990.00000000,1968000.00000000,1775000.00000000,1937465.00000000,1869980.70318030
2018/01/06,btc_jpy,1937465.00000000,2050000.00000000,1930490.00000000,1962055.00000000,1985018.78320731
2018/01/07,btc_jpy,1960900.00000000,2062275.00000000,1955970.00000000,1974000.00000000,2004955.10934424
2018/01/08,btc_jpy,1974000.00000000,1985530.00000000,1825000.00000000,1837000.00000000,1934254.15693994
2018/01/09,btc_jpy,1831135.00000000,1945000.00000000,1800015.00000000,1881600.00000000,1890403.57308855
2018/01/10,btc_jpy,1881600.00000000,1898900.00000000,1759855.00000000,1772255.00000000,1844347.74264201
2018/01/11,btc_jpy,1770730.00000000,1878735.00000000,1679000.00000000,1774500.00000000,1777865.83292126
2018/01/12,btc_jpy,1774005.00000000,1783005.00000000,1610000.00000000,1698590.00000000,1697593.31324435
2018/01/13,btc_jpy,1700000.00000000,1766535.00000000,1648000.00000000,1739160.00000000,1703717.19798580
2018/01/14,btc_jpy,1739160.00000000,1778050.00000000,1651000.00000000,1685805.00000000,1718821.73713246
2018/01/15,btc_jpy,1686365.00000000,1721000.00000000,1661000.00000000,1710910.00000000,1697265.02644705
2018/01/16,btc_jpy,1710950.00000000,1713625.00000000,1180000.00000000,1432255.00000000,1585124.83636840
2018/01/17,btc_jpy,1432250.00000000,1539210.00000000,999000.00000000,999900.00000000,1270302.07747584
2018/01/18,btc_jpy,1050000.00000000,1419985.00000000,980000.00000000,1358495.00000000,1256373.29870620
2018/01/19,btc_jpy,1358495.00000000,1384990.00000000,1249500.00000000,1313260.00000000,1318457.92841003
2018/01/20,btc_jpy,1313255.00000000,1449995.00000000,1268000.00000000,1412600.00000000,1349723.25821850
2018/01/21,btc_jpy,1412600.00000000,1486995.00000000,1343500.00000000,1346940.00000000,1402888.79253723
2018/01/22,btc_jpy,1345850.00000000,1359995.00000000,1200000.00000000,1209180.00000000,1306542.19393734
2018/01/23,btc_jpy,1208030.00000000,1246500.00000000,1130010.00000000,1162960.00000000,1187183.57413071
2018/01/24,btc_jpy,1162960.00000000,1281000.00000000,1154055.00000000,1242730.00000000,1213623.35834618
2018/01/25,btc_jpy,1242770.00000000,1280000.00000000,1197000.00000000,1240610.00000000,1243642.16604319
2018/01/26,btc_jpy,1240385.00000000,1277800.00000000,1055000.00000000,1135790.00000000,1204892.25793949
2018/01/27,btc_jpy,1135790.00000000,1234500.00000000,1133000.00000000,1168050.00000000,1174211.37104987
2018/01/28,btc_jpy,1168065.00000000,1750000.00000000,1167120.00000000,1262695.00000000,1257508.96893310
2018/01/29,btc_jpy,1262695.00000000,1277500.00000000,1213490.00000000,1224785.00000000,1246813.32626401
2018/01/30,btc_jpy,1224965.00000000,1236000.00000000,1133000.00000000,1146035.00000000,1196918.87009529
2018/01/31,btc_jpy,1145945.00000000,1149010.00000000,1051050.00000000,1078790.00000000,1097335.90094684
2018/02/01,btc_jpy,1078790.00000000,1115000.00000000,950000.00000000,1005610.00000000,1067706.06805823
2018/02/02,btc_jpy,1005000.00000000,1009000.00000000,808100.00000000,912400.00000000,920991.91232239
2018/02/03,btc_jpy,912015.00000000,1000000.00000000,880005.00000000,995495.00000000,935725.53559498
2018/02/04,btc_jpy,996500.00000000,1088985.00000000,910000.00000000,926275.00000000,978117.68928783
2018/02/05,btc_jpy,926330.00000000,937170.00000000,805000.00000000,810620.00000000,877207.08290266
2018/02/06,btc_jpy,810125.00000000,1070000.00000000,655005.00000000,790000.00000000,753533.12895150
2018/02/07,btc_jpy,790325.00000000,950000.00000000,740000.00000000,900810.00000000,835832.33238771
2018/02/08,btc_jpy,900815.00000000,940000.00000000,821130.00000000,920380.00000000,892105.89336561
2018/02/09,btc_jpy,920255.00000000,926000.00000000,853800.00000000,917970.00000000,892535.45556106
2018/02/10,btc_jpy,917980.00000000,996000.00000000,903795.00000000,954315.00000000,957717.94861415
2018/02/11,btc_jpy,954315.00000000,954895.00000000,857700.00000000,926995.00000000,905668.19992680
2018/02/12,btc_jpy,927000.00000000,969980.00000000,883000.00000000,933995.00000000,924814.43452273
2018/02/13,btc_jpy,933995.00000000,983860.00000000,912000.00000000,935485.00000000,945381.71576103
2018/02/14,btc_jpy,935000.00000000,994990.00000000,923500.00000000,985735.00000000,948565.56704138
2018/02/15,btc_jpy,985735.00000000,1069900.00000000,983025.00000000,1054005.00000000,1024245.02569961
2018/02/16,btc_jpy,1054005.00000000,1105550.00000000,1036020.00000000,1072720.00000000,1071357.06472363
