日付,通貨名,始値,高値,安値,終値,平均値
2018/01/01,eth_jpy,85995.00000000,94440.00000000,85000.00000000,91895.00000000,90757.71719689
2018/01/02,eth_jpy,91895.00000000,110000.00000000,91200.00000000,103400.00000000,102665.42738530
2018/01/03,eth_jpy,103400.00000000,105500.00000000,97710.00000000,104000.00000000,103039.54008286
2018/01/04,eth_jpy,104000.00000000,147900.00000000,103000.00000000,142000.00000000,116476.38547179
2018/01/05,eth_jpy,141000.00000000,144000.00000000,114000.00000000,125100.00000000,125911.53147473
2018/01/06,eth_jpy,125000.00000000,134000.00000000,115000.00000000,119600.00000000,120529.67472959
2018/01/07,eth_jpy,119600.00000000,132000.00000000,119005.00000000,129975.00000000,126387.54995583
2018/01/08,eth_jpy,130005.00000000,154500.00000000,128510.00000000,131995.00000000,142746.11568999
2018/01/09,eth_jpy,132000.00000000,160000.00000000,130000.00000000,155805.00000000,149785.90543454
2018/01/10,eth_jpy,155810.00000000,194995.00000000,152910.00000000,168800.00000000,174227.76684731
2018/01/11,eth_jpy,168800.00000000,172695.00000000,150000.00000000,154910.00000000,159216.61454447
2018/01/12,eth_jpy,156510.00000000,159490.00000000,137860.00000000,155840.00000000,150150.17747710
2018/01/13,eth_jpy,155830.00000000,167890.00000000,150145.00000000,162535.00000000,159217.85923030
2018/01/14,eth_jpy,163000.00000000,174990.00000000,158900.00000000,166605.00000000,167836.07281648
2018/01/15,eth_jpy,166605.00000000,171815.00000000,156035.00000000,158380.00000000,164800.30957875
2018/01/16,eth_jpy,158205.00000000,161990.00000000,122000.00000000,133700.00000000,145736.45568597
2018/01/17,eth_jpy,133410.00000000,138900.00000000,89000.00000000,89500.00000000,111597.53349726
2018/01/18,eth_jpy,89000.00000000,132000.00000000,85500.00000000,122000.00000000,116332.13001195
2018/01/19,eth_jpy,122595.00000000,126895.00000000,114000.00000000,120505.00000000,121063.98353894
2018/01/20,eth_jpy,120535.00000000,129000.00000000,117000.00000000,127010.00000000,122717.80186471
2018/01/21,eth_jpy,127285.00000000,134000.00000000,120000.00000000,123190.00000000,127016.34468229
2018/01/22,eth_jpy,123000.00000000,124695.00000000,110500.00000000,112500.00000000,118200.15099251
2018/01/23,eth_jpy,112270.00000000,115900.00000000,101800.00000000,106020.00000000,109157.51067453
