日付,通貨名,始値,高値,安値,終値,平均値
2018/01/01,mona_jpy,1183.10000000,1200.00000000,1050.00000000,1140.90000000,1152.28439257
2018/01/02,mona_jpy,1144.00000000,1298.00000000,1116.00000000,1240.00000000,1206.89276635
2018/01/03,mona_jpy,1234.00000000,1285.00000000,1111.10000000,1150.00000000,1187.37725193
2018/01/04,mona_jpy,1145.00000000,1177.00000000,1058.70000000,1070.50000000,1110.59017695
2018/01/05,mona_jpy,1079.40000000,1138.70000000,1010.00000000,1031.40000000,1076.39602190
2018/01/06,mona_jpy,1038.90000000,1099.00000000,900.40000000,959.40000000,980.97839488
2018/01/07,mona_jpy,959.00000000,1050.00000000,951.20000000,1009.80000000,1003.60039990
2018/01/08,mona_jpy,1009.80000000,1023.00000000,914.00000000,929.00000000,964.98027017
2018/01/09,mona_jpy,925.00000000,1198.00000000,910.00000000,1139.10000000,1095.12973258
2018/01/10,mona_jpy,1142.00000000,1180.00000000,929.00000000,936.00000000,1043.95939469
2018/01/11,mona_jpy,930.10000000,1020.00000000,917.50000000,957.00000000,962.33447035
2018/01/12,mona_jpy,950.00000000,974.00000000,878.00000000,936.00000000,919.47457760
2018/01/13,mona_jpy,936.00000000,950.20000000,891.00000000,930.30000000,924.91953046
2018/01/14,mona_jpy,935.00000000,949.00000000,899.00000000,908.00000000,924.14951178
2018/01/15,mona_jpy,908.10000000,980.00000000,902.00000000,977.00000000,948.93529283
2018/01/16,mona_jpy,983.80000000,1044.00000000,800.00000000,855.00000000,926.26752453
2018/01/17,mona_jpy,855.00000000,886.50000000,534.00000000,535.00000000,661.33378891
2018/01/18,mona_jpy,537.90000000,805.00000000,515.50000000,736.50000000,700.00155948
2018/01/19,mona_jpy,740.80000000,760.00000000,660.00000000,700.00000000,709.89005806
2018/01/20,mona_jpy,700.10000000,998.00000000,683.00000000,970.10000000,867.09538715
2018/01/21,mona_jpy,970.50000000,977.90000000,782.00000000,807.00000000,886.08075408
2018/01/22,mona_jpy,807.00000000,820.10000000,681.00000000,712.00000000,756.35243587
2018/01/23,mona_jpy,714.00000000,803.00000000,620.00000000,671.20000000,714.66905189
2018/01/24,mona_jpy,674.90000000,721.10000000,660.20000000,690.90000000,688.31595460
2018/01/25,mona_jpy,691.00000000,713.00000000,666.10000000,688.00000000,687.02945977
2018/01/26,mona_jpy,688.60000000,700.00000000,520.00000000,539.00000000,615.81823748
2018/01/27,mona_jpy,540.00000000,630.00000000,540.00000000,609.30000000,603.04080394
2018/01/28,mona_jpy,607.00000000,697.00000000,606.50000000,675.00000000,669.13425273
2018/01/29,mona_jpy,677.00000000,690.00000000,641.00000000,648.00000000,663.49559091
2018/01/30,mona_jpy,649.10000000,651.00000000,560.00000000,585.30000000,607.16121995
2018/01/31,mona_jpy,581.00000000,588.60000000,522.80000000,526.00000000,539.64488396
2018/02/01,mona_jpy,525.30000000,545.00000000,419.20000000,452.00000000,501.35703032
2018/02/02,mona_jpy,453.00000000,465.00000000,310.00000000,404.00000000,369.90314211
2018/02/03,mona_jpy,400.10000000,539.90000000,396.00000000,502.00000000,463.25517437
2018/02/04,mona_jpy,502.00000000,520.00000000,421.30000000,435.10000000,470.02424184
2018/02/05,mona_jpy,435.00000000,445.00000000,401.10000000,405.00000000,419.50286052
2018/02/06,mona_jpy,404.00000000,410.00000000,333.00000000,396.00000000,373.86571227
2018/02/07,mona_jpy,397.00000000,430.00000000,370.10000000,409.00000000,405.65966582
2018/02/08,mona_jpy,408.90000000,429.00000000,371.00000000,412.00000000,405.03101920
2018/02/09,mona_jpy,411.50000000,420.00000000,390.00000000,418.00000000,403.44949953
2018/02/10,mona_jpy,418.00000000,500.00000000,412.00000000,472.50000000,463.22676061
2018/02/11,mona_jpy,472.00000000,476.20000000,415.00000000,436.00000000,440.97488127
2018/02/12,mona_jpy,438.90000000,476.40000000,420.00000000,452.30000000,448.03646304
2018/02/13,mona_jpy,452.30000000,489.00000000,441.00000000,465.80000000,466.49268440
2018/02/14,mona_jpy,466.00000000,482.70000000,451.00000000,477.40000000,465.89081336
2018/02/15,mona_jpy,477.40000000,560.00000000,476.10000000,538.00000000,526.21839714
2018/02/16,mona_jpy,537.10000000,639.00000000,534.50000000,620.10000000,590.77165633
2018/02/17,mona_jpy,621.00000000,740.00000000,612.50000000,695.80000000,687.90560582
2018/02/18,mona_jpy,690.00000000,707.70000000,580.00000000,647.50000000,655.05412315
2018/02/19,mona_jpy,647.50000000,685.00000000,589.00000000,652.10000000,635.32115488
2018/02/20,mona_jpy,652.20000000,687.80000000,640.00000000,662.00000000,664.70595525
2018/02/21,mona_jpy,661.30000000,674.90000000,600.10000000,612.50000000,627.20807181
2018/02/22,mona_jpy,615.00000000,635.00000000,545.00000000,546.00000000,593.38492887
2018/02/23,mona_jpy,546.00000000,627.20000000,540.00000000,615.60000000,585.30458943
2018/02/24,mona_jpy,615.10000000,622.00000000,592.60000000,604.00000000,606.72304836
2018/02/25,mona_jpy,603.20000000,610.00000000,560.00000000,560.00000000,587.30757764
2018/02/26,mona_jpy,560.00000000,605.00000000,551.00000000,593.00000000,581.87822798
2018/02/27,mona_jpy,593.00000000,618.00000000,590.70000000,602.00000000,605.13827006
2018/02/28,mona_jpy,601.00000000,615.00000000,588.00000000,592.10000000,600.24015632
2018/03/01,mona_jpy,592.40000000,600.00000000,578.00000000,589.00000000,586.21869017
2018/03/02,mona_jpy,589.00000000,592.00000000,575.10000000,575.50000000,585.71109875
2018/03/03,mona_jpy,575.40000000,590.00000000,566.00000000,566.90000000,573.68075301
2018/03/04,mona_jpy,566.90000000,595.00000000,558.00000000,576.90000000,574.03579132
2018/03/05,mona_jpy,578.00000000,597.80000000,569.70000000,573.10000000,581.02315565
2018/03/06,mona_jpy,573.90000000,577.10000000,544.00000000,555.00000000,561.73730948
2018/03/07,mona_jpy,555.00000000,556.00000000,478.00000000,502.50000000,518.65706902
2018/03/08,mona_jpy,502.50000000,514.00000000,450.00000000,462.70000000,473.92155410
2018/03/09,mona_jpy,462.70000000,483.00000000,410.00000000,449.00000000,442.17326227
2018/03/10,mona_jpy,449.00000000,474.90000000,427.00000000,456.80000000,457.63736202
2018/03/11,mona_jpy,455.00000000,459.10000000,430.00000000,437.40000000,440.34432390
2018/03/12,mona_jpy,436.00000000,469.00000000,433.00000000,445.20000000,453.48019478
2018/03/13,mona_jpy,445.00000000,464.00000000,441.10000000,452.00000000,453.33460880
2018/03/14,mona_jpy,452.00000000,469.00000000,446.00000000,449.00000000,456.28374566
2018/03/15,mona_jpy,448.50000000,449.00000000,390.00000000,426.50000000,415.93599256
2018/03/16,mona_jpy,422.40000000,426.00000000,397.00000000,408.00000000,408.57611615
2018/03/17,mona_jpy,407.60000000,420.40000000,388.60000000,389.00000000,403.03550641
2018/03/18,mona_jpy,390.50000000,390.60000000,333.00000000,338.00000000,353.75500320
